L,β,e,c,m,χ,U
4,0.001,-0.041790625,2.1193956910398878e-6,0.2039578125,0.0004311966364813935,-0.0016899542912862664
4,0.006020100502512562,-0.02020625,7.297402171382545e-5,0.2022984375,0.0024171899648906575,0.0430955746112025
4,0.011040201005025126,-0.00788125,0.00024140821034280812,0.2009328125,0.004303253136107627,0.07177771469243877
4,0.016060301507537688,-0.031603125,0.0005102841471433915,0.204246875,0.006524682230892834,0.0538774657090203
4,0.02108040201005025,-0.038971875,0.0009099803075299101,0.205140625,0.008818220172102813,0.03978342265515067
4,0.026100502512562813,-0.045528125,0.0013755847465240882,0.2028609375,0.010639178469898506,0.03504007460374803
4,0.03112060301507538,-0.063640625,0.0019128540058663329,0.2077875,0.01303626231386938,0.05188287421862747
4,0.03614070351758794,-0.083203125,0.0026606595580006376,0.214990625,0.01606639692989253,0.052302915331797095
4,0.0411608040201005,-0.07875625,0.0034769629182052997,0.214784375,0.018309645510839766,0.04595356628782532
4,0.046180904522613066,-0.090771875,0.004292287849261875,0.2177875,0.020703051030474554,0.06689920395892823
4,0.05120100502512563,-0.105684375,0.005377128322717267,0.2211078125,0.023953895447109203,0.05754061075040351
4,0.05622110552763819,-0.1138875,0.006462991992339083,0.2224609375,0.026496634106697524,0.06065230129871013
4,0.061241206030150756,-0.1239,0.007721898131499685,0.2262390625,0.029618213445561647,0.07165898498491075
4,0.06626130653266332,-0.13324375,0.009213762429937256,0.2284484375,0.032775097771535824,0.0669595757612621
4,0.07128140703517588,-0.14740625,0.010679168362241885,0.2310390625,0.0360591021360708,0.06674562599539835
4,0.07630150753768844,-0.151796875,0.012198011381891478,0.233253125,0.03857567644131984,0.07994442888180942
4,0.081321608040201,-0.168584375,0.013964327884652163,0.2384015625,0.04289571197882612,0.08435375953349211
4,0.08634170854271357,-0.1734375,0.01601301403800296,0.2385578125,0.046170367883195056,0.07017673758139609
4,0.09136180904522613,-0.187834375,0.017946686246081842,0.244646875,0.05044527729744468,0.08722599137625164
4,0.09638190954773869,-0.197796875,0.01991813058206992,0.24584375,0.05358164880484374,0.09063391999816817
4,0.10140201005025126,-0.203421875,0.022414300850132893,0.249390625,0.05785757263354378,0.08830644073867677
4,0.10642211055276382,-0.22029375,0.024737042266470607,0.253975,0.06239709461101931,0.10300634953710663
4,0.11144221105527638,-0.23415625,0.02818869521084881,0.2592078125,0.06796559083942204,0.10329727299392422
4,0.11646231155778894,-0.241984375,0.03017956591108533,0.259478125,0.07084856575259325,0.10203917766850712
4,0.12148241206030151,-0.25325,0.03379074273855244,0.265253125,0.07663008625847853,0.10774306705826586
4,0.12650251256281406,-0.26714375,0.03710271367446463,0.269940625,0.08155724543053805,0.11823210144967389
4,0.13152261306532664,-0.2767875,0.04034671485206274,0.2724703125,0.0865363173543177,0.1170492923577372
4,0.1365427135678392,-0.29314375,0.04448433254511861,0.2773,0.0935372441246973,0.11739652556350122
4,0.14156281407035176,-0.305584375,0.048438932653967294,0.2834234375,0.09879142597859518,0.13125535924284404
4,0.14658291457286432,-0.312615625,0.052522511110949285,0.2864296875,0.10351637763616477,0.13642633366338552
4,0.15160301507537688,-0.325184375,0.05717887438257068,0.2919,0.10989710920034744,0.14609736667761464
4,0.15662311557788944,-0.336134375,0.06118809739189047,0.29384375,0.11499117013837043,0.14744059612857552
4,0.161643216080402,-0.348425,0.06670175148107067,0.2991703125,0.12248883779399021,0.15287731108593283
4,0.16666331658291458,-0.3648625,0.07186483415142868,0.3049234375,0.13080738597997274,0.1601717416282873
4,0.17168341708542714,-0.375734375,0.07856096677826804,0.3089265625,0.13727474397354184,0.16170846040733433
4,0.1767035175879397,-0.393725,0.08468059499686878,0.3161609375,0.14587465208864814,0.1697433905903707
4,0.18172361809045226,-0.403884375,0.09141428077264559,0.321990625,0.15364971194273483,0.18218115228505816
4,0.18674371859296482,-0.415859375,0.09824389764946942,0.32560625,0.161026755192298,0.1824319234995736
4,0.19176381909547738,-0.43339375,0.1067366699259968,0.3330125,0.1701336057926729,0.19465576700936005
4,0.19678391959798994,-0.44768125,0.11430391893525392,0.3392765625,0.1792103057942511,0.2036524831944947
4,0.20180402010050252,-0.464175,0.1229413489996841,0.3464296875,0.18778082064774726,0.21191779375189157
4,0.20682412060301508,-0.47620625,0.13234877630982328,0.35205625,0.19722914002795008,0.2214443577732066
4,0.21184422110552764,-0.492678125,0.14141247660654718,0.3576703125,0.20733014266005176,0.22594998515267517
4,0.2168643216080402,-0.508165625,0.1529883826468764,0.3648140625,0.21873329727250593,0.2350924328729288
4,0.22188442211055276,-0.527253125,0.16312245746733128,0.372846875,0.2291389296372525,0.24556316284178192
4,0.22690452261306532,-0.54440625,0.17728019001710008,0.3799609375,0.24216758239054592,0.2517309934875135
4,0.23192462311557788,-0.564628125,0.18828326018979855,0.3904,0.25175568795021974,0.2695314082097555
4,0.23694472361809046,-0.58104375,0.20180561079471512,0.3973859375,0.26327199086294184,0.2776305415718102
4,0.24196482412060302,-0.595534375,0.21570195928031305,0.4046140625,0.27343788268781627,0.2862738719486636
4,0.24698492462311558,-0.61145,0.22970192296351716,0.4107328125,0.28581577049016854,0.293240545249962
4,0.25200502512562817,-0.6369125,0.2482615375425542,0.4241859375,0.2982598711506527,0.3103361865419888
4,0.2570251256281407,-0.653396875,0.26103191683570154,0.429846875,0.31016101167349075,0.31724689618111357
4,0.2620452261306533,-0.675940625,0.28051318107060197,0.441234375,0.3232651598631202,0.3305954611795002
4,0.26706532663316584,-0.697671875,0.29885266780850117,0.4524234375,0.33495061756606875,0.34361882230904073
4,0.2720854271356784,-0.714175,0.3186045241821655,0.459528125,0.34802506194004484,0.34981770831035774
4,0.27710552763819096,-0.74030625,0.34056795115654165,0.470840625,0.36322980885267975,0.3613859293253746
4,0.2821256281407035,-0.758171875,0.36185625617717704,0.4800859375,0.3748090777468389,0.3708402184655434
4,0.2871457286432161,-0.78124375,0.37857843414956693,0.49123125,0.3840678824217779,0.3842597662752072
4,0.29216582914572864,-0.809903125,0.40465599570998606,0.5037328125,0.39878181316653627,0.39600578772914663
4,0.2971859296482412,-0.82955,0.43062233821673934,0.5146640625,0.4102591802524532,0.4065016066618016
4,0.30220603015075376,-0.85740625,0.45016577000653013,0.52551875,0.4240606343522416,0.4167892502746581
4,0.3072261306532663,-0.87956875,0.4759419062326981,0.5373546875,0.43072172215937243,0.4274204292337609
4,0.3122462311557789,-0.905628125,0.49981759451351687,0.548609375,0.4444705984394644,0.43716180633923607
