L,β,e,c
4,0.001,-0.6671296875,4.459960683492918e-7
4,0.005995,-0.669178125,1.5981354352557654e-5
4,0.01099,-0.6717328125,5.3685593620779314e-5
4,0.015985,-0.6737015625,0.0001136649360368686
4,0.02098,-0.67605859375,0.00019695568876553927
4,0.025975,-0.6780125,0.000302714829720995
4,0.03097,-0.68054453125,0.00042832936096297557
4,0.035965,-0.6837453125,0.0005805653662262586
4,0.04096,-0.685321875,0.00075777712445956
4,0.045955,-0.6876375,0.0009447691465818902
4,0.05095,-0.689809375,0.0011776474630785696
4,0.055945,-0.692390625,0.0014247374043411616
4,0.06094,-0.69463984375,0.0016851600750839072
4,0.065935,-0.69647890625,0.0019759897616095407
4,0.07093,-0.698278125,0.0022964695985849023
4,0.075925,-0.701278125,0.002632260565604951
4,0.08092,-0.70378046875,0.003020092418752325
4,0.085915,-0.70614765625,0.003410505254154454
4,0.09091,-0.7091796875,0.003779876322401059
4,0.095905,-0.710025,0.004249932223045422
4,0.1009,-0.71321796875,0.00468087077747813
4,0.105895,-0.7152171875,0.005171692376805619
4,0.11089,-0.71811015625,0.005704552755324151
4,0.115885,-0.72036640625,0.0063323086821416375
4,0.12088,-0.72116953125,0.006846436086624361
4,0.125875,-0.72470546875,0.007464167623512177
4,0.13087,-0.7274265625,0.008079558389833942
4,0.135865,-0.72905859375,0.008747129279021647
4,0.14086,-0.73108359375,0.009454187573583418
4,0.145855,-0.734234375,0.010159599318240807
4,0.15085,-0.73634375,0.010830092517639245
4,0.155845,-0.7387203125,0.011575992648920461
4,0.16084,-0.7408234375,0.012495681039559184
4,0.165835,-0.7435828125,0.013321483362571525
4,0.17083,-0.74613359375,0.014098540263854794
4,0.175825,-0.7477609375,0.014934255570713982
4,0.18082,-0.75061953125,0.01587182571090976
4,0.185815,-0.75256796875,0.016895616464120848
4,0.19081,-0.75555,0.017853996078470866
4,0.195805,-0.75782734375,0.018676537308929004
4,0.2008,-0.759778125,0.01969952088764699
4,0.205795,-0.762921875,0.020869014651448456
4,0.21079,-0.76471953125,0.021927526434237284
4,0.215785,-0.7681171875,0.023260331081292898
4,0.22078,-0.77033671875,0.024520911238496534
4,0.225775,-0.77411953125,0.025802452561087146
4,0.23077,-0.7761859375,0.026958362314322533
4,0.235765,-0.777365625,0.027964145010764097
4,0.24076,-0.78041484375,0.029304568926709636
4,0.245755,-0.7836828125,0.030978041550101403
4,0.25075,-0.7859296875,0.032587607849882724
4,0.255745,-0.78903984375,0.034113957258868954
4,0.26074,-0.79228984375,0.03539541683757803
4,0.265735,-0.7942078125,0.03678569783165073
4,0.27073,-0.79643515625,0.03823052600887495
4,0.275725,-0.79936484375,0.039834577578551314
4,0.28072,-0.80212890625,0.04217862786845207
4,0.285715,-0.80368828125,0.04373334198729754
4,0.29071,-0.80653671875,0.04533591902833618
4,0.295705,-0.8095515625,0.04696784495922796
4,0.3007,-0.81154921875,0.049001205789163074
4,0.305695,-0.81613046875,0.050812966208140416
4,0.31069,-0.8178015625,0.0528025604833653
4,0.315685,-0.82027890625,0.05439719693245507
4,0.32068,-0.8222046875,0.057017236645092645
4,0.325675,-0.82714140625,0.05957126543831607
4,0.33067,-0.83043046875,0.062114290016757834
4,0.335665,-0.832846875,0.06401424132066064
4,0.34066,-0.8355640625,0.066840992417874
4,0.345655,-0.83738046875,0.0687652350116872
4,0.35065,-0.8396484375,0.07100471125362257
4,0.355645,-0.8429234375,0.07397215286383997
4,0.36064,-0.8467421875,0.0761079588156371
4,0.365635,-0.849721875,0.07974035944493767
4,0.37063,-0.8519484375,0.08200560481674278
4,0.375625,-0.85406015625,0.08414132888586003
4,0.38062,-0.8583859375,0.08808086998941105
4,0.385615,-0.86075625,0.08956561220083571
4,0.39061,-0.86355859375,0.09281945006130407
4,0.395605,-0.86573671875,0.0971674775496412
4,0.4006,-0.8694453125,0.09983458776578108
4,0.405595,-0.8733515625,0.10267367823940778
4,0.41059,-0.8767296875,0.1067094003576799
4,0.415585,-0.88021015625,0.11144350853014129
4,0.42058,-0.88203671875,0.11445498053846326
4,0.425575,-0.8836234375,0.11732335211641552
4,0.43057,-0.88813046875,0.12027998792948617
4,0.435565,-0.89081484375,0.12516263900660005
4,0.44056,-0.895653125,0.13055930860183537
4,0.445555,-0.89917890625,0.13314946011950352
4,0.45055,-0.903184375,0.14004528025307597
4,0.455545,-0.90649296875,0.1411662755951293
4,0.46054,-0.90911484375,0.1467690309107042
4,0.465535,-0.9143296875,0.1520334844000334
4,0.47053,-0.9171546875,0.15924192736939735
4,0.475525,-0.9197453125,0.16300250115303105
4,0.48052,-0.923578125,0.1711781263181046
4,0.485515,-0.9279109375,0.1764538064522888
4,0.49051,-0.93205234375,0.17926229598030324
4,0.495505,-0.936584375,0.18856817560630557
4,0.5005,-0.9373265625,0.19077816627771982
4,0.505495,-0.9426515625,0.1996072966877448
4,0.51049,-0.9478265625,0.21005074840921634
4,0.515485,-0.95188515625,0.21431491187097246
4,0.52048,-0.9547703125,0.21722967962571801
4,0.525475,-0.95607890625,0.22323603839272824
4,0.53047,-0.96151171875,0.23071551287357295
4,0.535465,-0.96757109375,0.2403863401569458
4,0.54046,-0.9700125,0.24831325749338856
4,0.545455,-0.9752625,0.25620410732091076
4,0.55045,-0.98185703125,0.26772556458014357
4,0.555445,-0.98628984375,0.27451109289728376
4,0.56044,-0.98975,0.28428232977549567
4,0.565435,-0.99468828125,0.2990161129551227
4,0.57043,-0.99748515625,0.30311598444166443
4,0.575425,-1.004621875,0.3213978171656398
4,0.58042,-1.009265625,0.3303274010356199
4,0.585415,-1.0148328125,0.3377065871487662
4,0.59041,-1.01745859375,0.3476358745461115
4,0.595405,-1.02314140625,0.3567880231637453
4,0.6004,-1.02865859375,0.37376527851098235
4,0.605395,-1.0336046875,0.3819664225713311
4,0.61039,-1.0407625,0.4013656088051907
4,0.615385,-1.045328125,0.41792911782012526
4,0.62038,-1.047396875,0.4213336761166491
4,0.625375,-1.05832265625,0.4500103612263501
4,0.63037,-1.05954375,0.45761621385910417
4,0.635365,-1.0632890625,0.45619701582838157
4,0.64036,-1.067921875,0.4761680484157183
4,0.645355,-1.07704921875,0.5014310016676677
4,0.65035,-1.083346875,0.5154531115783394
4,0.655345,-1.0902296875,0.5364726193029559
4,0.66034,-1.0946015625,0.5456951773427604
4,0.665335,-1.10072578125,0.5636310376536061
4,0.67033,-1.10671015625,0.5864748928524907
4,0.675325,-1.1131015625,0.6102754346235969
4,0.68032,-1.12436796875,0.6387520945978181
4,0.685315,-1.13076484375,0.6527084894882329
4,0.69031,-1.1353203125,0.6766731189879575
4,0.695305,-1.1469890625,0.7060232791556047
4,0.7003,-1.1502078125,0.7155679920353062
4,0.705295,-1.15584296875,0.7409005094472731
4,0.71029,-1.16289921875,0.7672872416856032
4,0.715285,-1.16981015625,0.7898572100392693
4,0.72028,-1.17926171875,0.8166069881766673
4,0.725275,-1.18955703125,0.8540121401736753
4,0.73027,-1.19216640625,0.8538893994365794
4,0.735265,-1.20393359375,0.9027651015770096
4,0.74026,-1.21189765625,0.9258535708211937
4,0.745255,-1.21486796875,0.9234502080306997
4,0.75025,-1.23158125,0.9594466761844754
4,0.755245,-1.23517421875,0.9899549362113667
4,0.76024,-1.2469734375,1.0167885362024998
4,0.765235,-1.2574578125,1.0533714123179125
4,0.77023,-1.26145546875,1.0610760511384558
4,0.775225,-1.26988125,1.1048830113698311
4,0.78022,-1.2781390625,1.1257048426935565
4,0.785215,-1.288096875,1.1582956692790143
4,0.79021,-1.3025703125,1.1824382856679425
4,0.795205,-1.31785,1.2250855939714116
4,0.8002,-1.32193203125,1.2502710384419844
4,0.805195,-1.329725,1.2695353156573186
4,0.81019,-1.3431484375,1.3028446041983563
4,0.815185,-1.34689375,1.314732230145703
4,0.82018,-1.35923984375,1.364693972164134
4,0.825175,-1.3710546875,1.3705099688140554
4,0.83017,-1.3813203125,1.3856213674968505
4,0.835165,-1.38924609375,1.423676720517301
4,0.84016,-1.40301015625,1.4504236231194307
4,0.845155,-1.411909375,1.4753425034196763
4,0.85015,-1.41332734375,1.476581096699933
4,0.855145,-1.43093828125,1.5067263565555862
4,0.86014,-1.446803125,1.5162692447241262
4,0.865135,-1.45614375,1.5356429655457988
4,0.87013,-1.45898046875,1.5458695397832483
4,0.875125,-1.46708515625,1.5627268703167085
4,0.88012,-1.4853234375,1.5658444482872882
4,0.885115,-1.48840546875,1.5937607723396903
4,0.89011,-1.49790390625,1.6177217756046387
4,0.895105,-1.51176484375,1.598299831218399
4,0.9001,-1.52491640625,1.6214211519031168
4,0.905095,-1.536353125,1.6403207587908935
4,0.91009,-1.54798046875,1.615857719148883
4,0.915085,-1.557190625,1.6307108660180774
4,0.92008,-1.56309140625,1.6367929210088135
4,0.925075,-1.57645234375,1.6271349134367985
4,0.93007,-1.58141640625,1.650785234728447
4,0.935065,-1.5897296875,1.6478065885223725
4,0.94006,-1.60188046875,1.665325248351333
4,0.945055,-1.611184375,1.6497030283775704
4,0.95005,-1.61367890625,1.6355537118990902
4,0.955045,-1.63016328125,1.618541886268853
4,0.96004,-1.638940625,1.60369008191969
4,0.965035,-1.64411015625,1.6125981327743064
4,0.97003,-1.65154296875,1.618808145788205
4,0.975025,-1.65946640625,1.605223876388888
4,0.98002,-1.670559375,1.5780172434533282
4,0.985015,-1.68358515625,1.5292851609952078
4,0.99001,-1.68843359375,1.5358203302951074
4,0.995005,-1.68934375,1.5619902248008313
4,1.0,-1.69979296875,1.5272394984527153
8,0.001,-0.6666138671875,4.4395652121188613e-7
8,0.005995,-0.66937109375,1.6124480343258174e-5
8,0.01099,-0.671440625,5.398730770970601e-5
8,0.015985,-0.67346875,0.00011543777908795696
8,0.02098,-0.6762818359375,0.00019811879183996003
8,0.025975,-0.6781912109375,0.00030229289939468846
8,0.03097,-0.6804267578125,0.00043259386198408507
8,0.035965,-0.6830521484375,0.0005826373021464681
8,0.04096,-0.684555078125,0.0007609801778921597
8,0.045955,-0.6871919921875,0.0009481537209186308
8,0.05095,-0.6896439453125,0.0011753779036669904
8,0.055945,-0.6916185546875,0.0014144113059518953
8,0.06094,-0.693671875,0.00169036079569854
8,0.065935,-0.69618828125,0.001997206751290181
8,0.07093,-0.69870859375,0.002317601513487047
8,0.075925,-0.7012115234375,0.002666545377782199
8,0.08092,-0.7030625,0.0030076227312194155
8,0.085915,-0.70532578125,0.0033808342443346095
8,0.09091,-0.708609765625,0.0038075496793984276
8,0.095905,-0.7099025390625,0.004230489510730177
8,0.1009,-0.7121638671875,0.004677017541357178
8,0.105895,-0.714573046875,0.005181030157176621
8,0.11089,-0.716883203125,0.005702260555443801
8,0.115885,-0.719474609375,0.006236901484865471
8,0.12088,-0.7217080078125,0.006797746303480526
8,0.125875,-0.7240421875,0.007408612378546623
8,0.13087,-0.726693359375,0.008016259947007207
8,0.135865,-0.728518359375,0.008662236713160111
8,0.14086,-0.7312103515625,0.009367219907517401
8,0.145855,-0.7330537109375,0.010031692016972064
8,0.15085,-0.7357205078125,0.010819066925543623
8,0.155845,-0.738145703125,0.011519597941332609
8,0.16084,-0.7404400390625,0.012314722675698457
8,0.165835,-0.7430173828125,0.012963671628944202
8,0.17083,-0.7449400390625,0.013991850232304585
8,0.175825,-0.747673046875,0.014787738691912806
8,0.18082,-0.749855078125,0.015744530917057905
8,0.185815,-0.7518974609375,0.0165408951648949
8,0.19081,-0.75465546875,0.017687534853568155
8,0.195805,-0.757066796875,0.018682444107037514
8,0.2008,-0.759724609375,0.01959637484583542
8,0.205795,-0.762013671875,0.020627186400994993
8,0.21079,-0.7643138671875,0.021980697258428845
8,0.215785,-0.76687109375,0.02272521175544995
8,0.22078,-0.76972421875,0.02389889101916217
8,0.225775,-0.7718826171875,0.025376083500357475
8,0.23077,-0.7745125,0.026363754103986392
8,0.235765,-0.77676640625,0.027647249487981654
8,0.24076,-0.7793296875,0.0287262753756779
8,0.245755,-0.781685546875,0.030252209127031474
8,0.25075,-0.78462265625,0.031846093161168404
8,0.255745,-0.7869029296875,0.033411335285894475
8,0.26074,-0.7893765625,0.03428015023834622
8,0.265735,-0.791319140625,0.035618825197377926
8,0.27073,-0.7944158203125,0.03685773833345521
8,0.275725,-0.7967068359375,0.038573502935591183
8,0.28072,-0.799346875,0.04016964820498744
8,0.285715,-0.801771875,0.04194171668071576
8,0.29071,-0.8046533203125,0.043574224024850235
8,0.295705,-0.8073017578125,0.04522494906317183
8,0.3007,-0.80992578125,0.04651137317434665
8,0.305695,-0.8120158203125,0.04897399549489971
8,0.31069,-0.815389453125,0.05050490822052952
8,0.315685,-0.8178716796875,0.05264564268009503
8,0.32068,-0.8200923828125,0.05410762242510876
8,0.325675,-0.8227595703125,0.056491202286558406
8,0.33067,-0.8252947265625,0.0572454392594663
8,0.335665,-0.8277126953125,0.0603077549065121
8,0.34066,-0.830709765625,0.06213110681736576
8,0.345655,-0.832664453125,0.06387638330073253
8,0.35065,-0.8356857421875,0.0660291175448508
8,0.355645,-0.838630859375,0.06840229229164956
8,0.36064,-0.8417400390625,0.07094006031529052
8,0.365635,-0.8436435546875,0.0730052457523205
8,0.37063,-0.84694296875,0.0752933245178993
8,0.375625,-0.849402734375,0.07715569128704139
8,0.38062,-0.85258984375,0.08092713187768918
8,0.385615,-0.8545720703125,0.08302145103433017
8,0.39061,-0.858121875,0.08553871133367189
8,0.395605,-0.860888671875,0.0877606132587127
8,0.4006,-0.863587890625,0.09001393813796657
8,0.405595,-0.8666685546875,0.09292586756887679
8,0.41059,-0.8694603515625,0.0954136056956151
8,0.415585,-0.8720658203125,0.09793551442144746
8,0.42058,-0.8746669921875,0.10214369473066345
8,0.425575,-0.8776826171875,0.10438226188553984
8,0.43057,-0.8808287109375,0.10726527296009572
8,0.435565,-0.8844001953125,0.10968884664959455
8,0.44056,-0.8862302734375,0.11428574023413757
8,0.445555,-0.8895279296875,0.11609158226132767
8,0.45055,-0.893052734375,0.12089436005508458
8,0.455545,-0.895507421875,0.12371998890067437
8,0.46054,-0.898980078125,0.12773655371424242
8,0.465535,-0.9010326171875,0.1299263377364197
8,0.47053,-0.90507265625,0.13560920691578535
8,0.475525,-0.9068435546875,0.1383186843092086
8,0.48052,-0.9104837890625,0.14271647794137687
8,0.485515,-0.9129244140625,0.14554493046583325
8,0.49051,-0.9174904296875,0.1507045288952794
8,0.495505,-0.9200634765625,0.15144498913481919
8,0.5005,-0.9225298828125,0.15708805124813777
8,0.505495,-0.9258169921875,0.16062829366588652
8,0.51049,-0.9287693359375,0.16399509790787797
8,0.515485,-0.9331658203125,0.17210283032564416
8,0.52048,-0.9358791015625,0.1745772927567268
8,0.525475,-0.9389076171875,0.18110053205576945
8,0.53047,-0.9419818359375,0.1834027757217563
8,0.535465,-0.94491328125,0.18824222056074008
8,0.54046,-0.948994140625,0.19259751161279656
8,0.545455,-0.9521130859375,0.1976379573393346
8,0.55045,-0.9547767578125,0.20092768409459144
8,0.555445,-0.958637890625,0.20958071112687796
8,0.56044,-0.96165625,0.21362496636845557
8,0.565435,-0.9647888671875,0.2159172488116646
8,0.57043,-0.9688111328125,0.22268622132170812
8,0.575425,-0.972254296875,0.23084362231781358
8,0.58042,-0.9751138671875,0.23903789590997657
8,0.585415,-0.978737890625,0.24481279592849134
8,0.59041,-0.9826298828125,0.245823879272082
8,0.595405,-0.986176171875,0.25159649300807113
8,0.6004,-0.9906669921875,0.25795623848319554
8,0.605395,-0.99262578125,0.2663280406204516
8,0.61039,-0.9987548828125,0.2775126639807435
8,0.615385,-1.0019076171875,0.2823406108315781
8,0.62038,-1.0034796875,0.2867680944899995
8,0.625375,-1.008670703125,0.29743510249964694
8,0.63037,-1.0111943359375,0.30305711756129133
8,0.635365,-1.0158484375,0.31234742937717047
8,0.64036,-1.019925,0.3178022499001699
8,0.645355,-1.0234146484375,0.3290971501950825
8,0.65035,-1.0269720703125,0.3311707502078743
8,0.655345,-1.0301107421875,0.33918138127875314
8,0.66034,-1.034712890625,0.3486675884155133
8,0.665335,-1.0398958984375,0.3602853720745304
8,0.67033,-1.0437005859375,0.37221147414549816
8,0.675325,-1.0490296875,0.38004175372689303
8,0.68032,-1.0519287109375,0.396753713408712
