L,β,e,c
4,0.001,-1.00108125,4.950749828122847e-7
4,0.005995,-1.003615625,1.798742875402721e-5
4,0.01099,-1.0051953125,5.999630372141124e-5
4,0.015985,-1.008659375,0.00012711338108945593
4,0.02098,-1.01136875,0.0002180750349621467
4,0.025975,-1.01331875,0.00033750584938410113
4,0.03097,-1.01574375,0.0004804964155999668
4,0.035965,-1.0192078125,0.0006407825488142859
4,0.04096,-1.020603125,0.0008289443848253543
4,0.045955,-1.0234,0.0010559606634134681
4,0.05095,-1.0256421875,0.0012938828398040057
4,0.055945,-1.0274453125,0.0015712046011434166
4,0.06094,-1.0303609375,0.0018824137672216208
4,0.065935,-1.0324359375,0.0021967849826594714
4,0.07093,-1.0355453125,0.0025462229189022537
4,0.075925,-1.0380546875,0.0029075669571836877
4,0.08092,-1.0406671875,0.003303887594084323
4,0.085915,-1.0428171875,0.003723505324274081
4,0.09091,-1.045759375,0.004168139789471788
4,0.095905,-1.0483890625,0.004696914208858041
4,0.1009,-1.0503625,0.0051595630632727645
4,0.105895,-1.0538125,0.0057075054677755985
4,0.11089,-1.0570796875,0.006223059322570741
4,0.115885,-1.0586234375,0.006858238806203004
4,0.12088,-1.060084375,0.007551111776209189
4,0.125875,-1.0630015625,0.00822829409938974
4,0.13087,-1.0656734375,0.008943832132934891
4,0.135865,-1.0680953125,0.0096168207433708
4,0.14086,-1.0709203125,0.010331307763156352
4,0.145855,-1.074028125,0.011250298968574723
4,0.15085,-1.0763109375,0.011964923632022832
4,0.155845,-1.079225,0.012849534456131892
4,0.16084,-1.081384375,0.013671728247552237
4,0.165835,-1.0849234375,0.014637516403446812
4,0.17083,-1.087453125,0.015566164097294655
4,0.175825,-1.0898359375,0.016584066402204733
4,0.18082,-1.0932296875,0.01745257125846189
4,0.185815,-1.0965703125,0.018776433182937674
4,0.19081,-1.0990296875,0.01966715852417506
4,0.195805,-1.1014546875,0.02089013810738365
4,0.2008,-1.1034515625,0.02202965914037224
4,0.205795,-1.10698125,0.023082650121525727
4,0.21079,-1.1089765625,0.024305455910263923
4,0.215785,-1.111996875,0.025701487133788174
4,0.22078,-1.114959375,0.02715640340204463
4,0.225775,-1.11759375,0.028345144554576367
4,0.23077,-1.1204421875,0.029651747130634447
4,0.235765,-1.122809375,0.031425349996621416
4,0.24076,-1.1254109375,0.032991793866409456
4,0.245755,-1.1284359375,0.03431840062033406
4,0.25075,-1.1315609375,0.035924127585358456
4,0.255745,-1.1345046875,0.03775180664418841
4,0.26074,-1.1380625,0.03958079504841339
4,0.265735,-1.1405859375,0.04122587911303889
4,0.27073,-1.1433703125,0.04338212843752415
4,0.275725,-1.14635625,0.045560687770364816
4,0.28072,-1.149803125,0.047576419230309905
4,0.285715,-1.1534890625,0.04930787089074963
4,0.29071,-1.1579390625,0.05162918367738302
4,0.295705,-1.1590859375,0.05403739173186228
4,0.3007,-1.1625046875,0.05575826605381224
4,0.305695,-1.165203125,0.05803825184963606
4,0.31069,-1.1676375,0.060253722177481754
4,0.315685,-1.1700765625,0.06247193256645841
4,0.32068,-1.1747421875,0.0660716655401675
4,0.325675,-1.177371875,0.06855439425121555
4,0.33067,-1.1800296875,0.07066913148112913
4,0.335665,-1.182178125,0.07395147017029159
4,0.34066,-1.1857875,0.07661556956381713
4,0.345655,-1.1894390625,0.07979275117107124
4,0.35065,-1.1933125,0.08241844185268242
4,0.355645,-1.197334375,0.08553972206187849
4,0.36064,-1.201,0.0897583461577334
4,0.365635,-1.2053078125,0.09304798725266548
4,0.37063,-1.2080328125,0.09597727769547616
4,0.375625,-1.212078125,0.09949866623770877
4,0.38062,-1.21523125,0.10377670934530457
4,0.385615,-1.2182703125,0.10731564878500904
4,0.39061,-1.2230109375,0.11255567778998117
4,0.395605,-1.22669375,0.11616941881110306
4,0.4006,-1.2295515625,0.12045512028773155
4,0.405595,-1.233215625,0.12490559183588114
4,0.41059,-1.238509375,0.13023076632369895
4,0.415585,-1.242528125,0.1352236086460928
4,0.42058,-1.2476046875,0.14010642217795755
4,0.425575,-1.25131875,0.14496614241156
4,0.43057,-1.2539265625,0.15093645884750972
4,0.435565,-1.2577125,0.15613860831747173
4,0.44056,-1.26165625,0.16024670607599384
4,0.445555,-1.2665421875,0.16807095079054044
4,0.45055,-1.26899375,0.1716745727957443
